file_a,file_b,cochange_count,jaccard
docs/TechRequirements.md,docs/milestone-7-planning.md,2,0.666667
docs/TechRequirements.md,docs/performance-validation.md,2,0.666667
docs/TechRequirements.md,docs/pr-checklist.md,2,0.500000
docs/TechRequirements.md,docs/prd.md,2,1.000000
docs/ci-design.md,docs/github-workflow.md,2,0.285714
docs/ci-design.md,docs/milestone-7-planning.md,3,1.000000
docs/ci-design.md,docs/performance-validation.md,2,0.500000
docs/ci-design.md,docs/pr-checklist.md,3,0.750000
docs/ci-design.md,docs/prd.md,2,0.666667
docs/github-workflow.md,docs/milestone-7-planning.md,2,0.285714
docs/github-workflow.md,docs/performance-validation.md,2,0.285714
docs/github-workflow.md,docs/pr-checklist.md,3,0.428571
docs/github-workflow.md,docs/prd.md,2,0.333333
docs/milestone-7-planning.md,docs/performance-validation.md,2,0.500000
docs/milestone-7-planning.md,docs/pr-checklist.md,3,0.750000
docs/milestone-7-planning.md,docs/prd.md,2,0.666667
docs/performance-validation.md,docs/pr-checklist.md,2,0.400000
docs/performance-validation.md,docs/prd.md,2,0.666667
docs/pr-checklist.md,docs/prd.md,2,0.500000
lib/server/actions/create-upload-preview.ts,lib/server/storage/upload-store.ts,2,1.000000
lib/server/actions/create-upload-preview.ts,tests/integration/upload-preview.test.ts,2,1.000000
lib/server/storage/upload-store.ts,tests/integration/upload-preview.test.ts,2,1.000000
lib/server/fetchers/get-invoice.ts,prisma/schema.prisma,2,0.333333
TechRequirements.md,docs/ci-design.md,2,0.666667
TechRequirements.md,docs/milestone-7-planning.md,2,0.666667
TechRequirements.md,docs/pr-checklist.md,2,0.500000
docs/github-task-matrix.md,docs/github-workflow.md,3,0.500000
docs/github-task-matrix.md,docs/pr-checklist.md,2,0.400000
docs/github-task-matrix.md,next.config.mjs,2,0.666667
docs/github-task-matrix.md,package.json,2,0.333333
docs/github-task-matrix.md,scripts/github/bootstrap-governance.mjs,2,0.666667
docs/github-task-matrix.md,task-manifest.json,2,0.400000
docs/github-task-matrix.md,tests/unit/github-governance.test.ts,2,0.666667
docs/github-workflow.md,next.config.mjs,2,0.333333
docs/github-workflow.md,package.json,2,0.222222
docs/github-workflow.md,scripts/github/bootstrap-governance.mjs,2,0.333333
docs/github-workflow.md,task-manifest.json,3,0.428571
docs/github-workflow.md,tests/unit/github-governance.test.ts,2,0.333333
docs/performance-validation.md,prd.md,2,0.666667
docs/performance-validation.md,task-manifest.json,2,0.400000
docs/pr-checklist.md,task-manifest.json,2,0.333333
next.config.mjs,package.json,2,0.400000
next.config.mjs,scripts/github/bootstrap-governance.mjs,2,1.000000
next.config.mjs,tests/unit/github-governance.test.ts,2,1.000000
package.json,scripts/github/bootstrap-governance.mjs,2,0.400000
package.json,tests/unit/github-governance.test.ts,2,0.400000
package.json,tests/unit/task-manifest.test.ts,2,0.400000
prd.md,task-manifest.json,2,0.500000
scripts/github/bootstrap-governance.mjs,tests/unit/github-governance.test.ts,2,1.000000
README.md,package.json,2,0.333333
README.md,scripts/github/bootstrap-labels.sh,2,0.666667
README.md,tsconfig.json,2,0.666667
package.json,scripts/github/bootstrap-labels.sh,2,0.400000
package.json,tsconfig.json,2,0.400000
scripts/github/bootstrap-labels.sh,tsconfig.json,2,1.000000
